0;//---------------------------------------------------------player will start on first area
  45;//alien type in creatures.dat---------red wazzal
   8;//number of these aliens
    0;//side
  46;//alien type in creatures.dat---------red wazzal
    8;//number of these aliens
    0;//side
  47;//alien type in creatures.dat---------red wazzal
   8;//number of these aliens
    0;//side
  48;//alien type in creatures.dat---------yellow wazzal
    8;//number of these aliens
    0;//side
  49;//alien type in creatures.dat---------silver wazzal
    8;//number of these aliens
    0;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
3;
2;
  end_excluded_plot_object_classes;
  none;//enter area text, specify none to not show it
9;//Mines---------------------------------------------------------
  Mines;//area name
  0;//area class
  7;//climate in climate_types.dat, -1=random climate
  9;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  41;//alien type in creatures.dat---------rockm
   9;//number of these aliens
    1;//side
  42;//alien type in creatures.dat---------rockore
    50;//number of these aliens
    1;//side
  43;//alien type in creatures.dat---------rockore
    25;//number of these aliens
    1;//side
  44;//alien type in creatures.dat---------rockore
    12;//number of these aliens
    1;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
5;
  end_excluded_plot_object_classes;
  You hold onto your spotlight tightly, you won't be able to see anything down here without it. The mines are huge... vast caverns and passageways extend until they vanish into the darkness. \ \ Long ago, in the dark, chaotic early years of the confederacy, these mines served as death pits for thousands and thousands of android slaves, before the terrible Cybernetic Revolution of 3330. \ \ Suddenly, you see a flash of light. Glancing down, you pick up a tiny, jagged fragment of shiny stone... Crystalline Ore. Zycar is one of a very few terrestrial systems discovered with deposits of this precious mineral, another being a far away, mysterious system you know only too well... \ A distant, echoing roar breaks the silence, and you frown. You may not be alone...;//enter area text, specify none to not show it
10;//---------------------------------------------------------
 Kinmegag 71;//area name
  0;//area class
  8;//climate in climate_types.dat, -1=random climate
  10;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.200000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
 36;//alien type in creatures.dat---------wolf
   120;//number of these aliens
    1;//side
 52;//alien type in creatures.dat---------wolf
 30;//number of these aliens
    1;//side
 56;//alien type in creatures.dat---------bear
  12;//number of these aliens
    1;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
1;
5;
  end_excluded_plot_object_classes;
   Captain Dreton (Kinmegag 71 outpost command): \ \ 'SIR! You are just in time! \ As you probably know, this outpost was designed as an early signalling point from which to notify all Confederate Systems in the event of an attack on the outer rim of the Confederacy. A massively powerful Interplanetary Signal Array is located on the planet, with range easily sufficient to reach the Confederate capital, New Dawn. \ I am however afraid to admit that we've been caught woefully unprepared. The Array relies on power from 10 substations, spread out across the planet to protect the system from attack. We need your assistance to find and activate the substations, initialize the Signal Array and send out the urgent warning to the Confederate Fleet! (substations remaining are shown  to the left). \ I will be sure to notify you regarding a reward (bonus PP/new weapon).';//enter area text, specify none to not show it
11;//The Zoo---------------------------------------------------------
  The Zoo (Alien homeworld);//area name
  0;//area class
  9;//climate in climate_types.dat, -1=random climate
  11;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
11;//alien type in creatures.dat--------aliens
    130;//number of these aliens
    1;//side
  38;//alien type in creatures.dat---------aliens
    80;//number of these aliens
    1;//side
37;//alien type in creatures.dat---------aliens
    4;//number of these aliens
    1;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
5;
  end_excluded_plot_object_classes;
  As you lower the blast shields on the disguised Wolf IV, a sweeping plain of parched stone and steaming fissures stretches out as far as the eye can see. The sky is an angry, broiling cloak of black, broken only at the horizon by a sickly green glow that illuminates the landscape. Slimy, sinewy vines writhe and contort as if in great pain, as a shower of glowing, radioactive embers fall around you... \ \ In the distance, you see hundreds of gleaming Alien ships, arranged in jagged rows across the scoured flat land. Now - as once years before on that final fateful Sol night - a terrible, all-consuming rage fills you. The final words of Gov. Ruefserouc on Errxelz 8 echo through your mind: 'Swear to me that you will not rest until the deaths of all of those slaughtered have been avenged.' \ \ It is the Aliens who will not rest this night...;//enter area text, specify none to not show it  
12;//---------------------------------------------------------
  Arhamt System;//area name
 4;//area class
  3;//climate in climate_types.dat, -1=random climate
  12;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
 1;//alien type in creatures.dat---------small alien fighters
    30;//number of these aliens
    1;//side
  3;//alien type in creatures.dat---------large alien fighters
    20;//number of these aliens
    1;//side
35;//alien type in creatures.dat---------alien mothership
    2;//number of these aliens
    1;//side
89;//alien type in creatures.dat---------alien cruiser
    3;//number of these aliens
    1;//side
  7;//alien type in creatures.dat---------asteroids
    13;//number of these aliens
    5;//side
  9;//alien type in creatures.dat---------asteroids
    20;//number of these aliens
    5;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
3;
2;
  end_excluded_plot_object_classes;
  none;//enter area text, specify none to not show it
13;//Moon---------------------------------------------------------
  Moon of Kinmegag 71;//area name
  0;//area class
  10;//climate in climate_types.dat, -1=random climate
  13;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
 0.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  42;//alien type in creatures.dat---------rockore
    16;//number of these aliens
    1;//side
  43;//alien type in creatures.dat---------rockore
    12;//number of these aliens
    1;//side
 44;//alien type in creatures.dat---------rockore
    7;//number of these aliens
    1;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
5;
  end_excluded_plot_object_classes;
 You step down the gangplank, and immediately your feet fly from under you. Throughout a lifetime as an explorer you have encountered low-gravity many, many times, yet the strange sensation of being almost weightless never ceases to suprise you. \ \ Kinmegag 71's moon is a small and desolate place, not much to see here. You remember once long ago it being mentioned in the Confederacy Minutely News as a planetoid of interest in the Crystalline Ore Rush of 3321, however anything of value it once contained has long since passed from memory.   ;//enter area text, specify none to not show it
14;//Caramel Moon---------------------------------------------------------
  Moon of Naquarin;//area name
  0;//area class
  11;//climate in climate_types.dat, -1=random climate
  14;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
 0.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
 67;//alien type in creatures.dat---------slug
    40;//number of these aliens
    1;//side
68;//alien type in creatures.dat---------slug
    20;//number of these aliens
    1;//side
69;//alien type in creatures.dat---------slug
    10;//number of these aliens
    1;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
5;
  end_excluded_plot_object_classes;
 You step down the gangplank, and immediately your feet fly from under you. Low gravity! \ \ The moon of Naquarin is famous as the home system of the rare Glouibi slug, whose slime is used across the Confederacy as an extremely expensive adhesive. \ \ The Glouibi slug is a very rare species, so be careful you don't overhunt them!;//enter area text, specify none to not show it
15;//---------------------------------------------------------
  Ntedro System;//area name
 4;//area class
 12;//climate in climate_types.dat, -1=random climate
  15;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
 1;//alien type in creatures.dat---------small alien fighters
   45;//number of these aliens
    1;//side
  3;//alien type in creatures.dat---------large alien fighters
    30;//number of these aliens
    1;//side
35;//alien type in creatures.dat---------alien mothership
    3;//number of these aliens
    1;//side
89;//alien type in creatures.dat---------alien cruiser
    3;//number of these aliens
    1;//side
  6;//alien type in creatures.dat---------asteroids
  80;//number of these aliens
    5;//side
  7;//alien type in creatures.dat---------asteroids
   80;//number of these aliens
    5;//side
  8;//alien type in creatures.dat---------asteroids
   55;//number of these aliens
    5;//side
  9;//alien type in creatures.dat---------asteroids
    55;//number of these aliens
    5;//side
70;//alien type in creatures.dat---------asteroids
 80;//number of these aliens
    5;//side
  71;//alien type in creatures.dat---------asteroids
  80;//number of these aliens
    5;//side
 72;//alien type in creatures.dat---------asteroids
    55;//number of these aliens
    5;//side
  73;//alien type in creatures.dat---------asteroids
    55;//number of these aliens
    5;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
3;
2;
  end_excluded_plot_object_classes;
  none;//enter area text, specify none to not show it
16;//---------------------------------------------------------
New Dawn System;//area name
  3;//area class
  3;//climate in climate_types.dat, -1=random climate
  16;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  45;//alien type in creatures.dat---------red wazzal
   20;//number of these aliens
    0;//side
  46;//alien type in creatures.dat---------red wazzal
    20;//number of these aliens
    0;//side
  47;//alien type in creatures.dat---------red wazzal
   20;//number of these aliens
    0;//side
  48;//alien type in creatures.dat---------yellow wazzal
    20;//number of these aliens
    0;//side
  49;//alien type in creatures.dat---------silver wazzal
    20;//number of these aliens
    0;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
3;
2;
  end_excluded_plot_object_classes;
  none;//enter area text, specify none to not show it
17;//--------------------------------------------------------------
  Armada;//area name
  0;//area class
  13;//climate in climate_types.dat, -1=random climate
  17;//terrain map number
  0;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
  none;//enter area text, specify none to not show it
18;//---------------------------------------------------------
 Eent 4 System;//area name
  1;//area class
  3;//climate in climate_types.dat, -1=random climate
  18;//terrain map number
  1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.5000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
 1;//alien type in creatures.dat---------small alien fighters
    30;//number of these aliens
    1;//side
  3;//alien type in creatures.dat---------large alien fighters
    20;//number of these aliens
    1;//side
35;//alien type in creatures.dat---------alien mothership
    2;//number of these aliens
    1;//side
89;//alien type in creatures.dat---------alien cruiser
    3;//number of these aliens
    1;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
4;
  end_excluded_plot_object_classes;
 Admiral Fefarewbu, 4th New Dawn Confederate Fleet: \ \ 'Captain! We have been ambushed! Our seven transports are heavily loaded with much needed equipment to resupply our military base on Dorian Prime, where brave Confederate soldiers have been fighting a decade-long conflict against a local tribal insurgency. This was to be a routine mission, but the Aliens were waiting for us. Without your help, all hope is lost! \ \ Please, assist us in ensuring at least one transport arrives at Dorian Prime on the other side of this system! Use your ECM systems to destroy missiles and your ion wave cannon to temporarily disable Alien ships, allowing our transports to make a run of it!;//enter area text, specify none to not show it
19;//Meadows---------------------------------------------------------planet
 Dorian Prime;//area name
  0;//area class
  14;//climate in climate_types.dat, -1=random climate
 19;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.7000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
    	 87;//alien type in creatures.dat---------fly
   80;//number of these aliens
   10;//side
end_alien_list;
  begin_excluded_plot_object_classes;
  1;
5;
  end_excluded_plot_object_classes;
  Admiral Fefarewbu, 4th Confederate Fleet: \ \ 'Captain! The Confederacy has been fighting a decade-long conflict against a local tribal insurgency here on Dorian Prime. The locals shun the Confederate way of life, preferring instead to live amongst trees and nature instead of good old fashioned concrete and steel! \ \ Nevertheless, this conflict is draining resources which are needed to combat the Aliens, so our orders are to neutralise the insurgency once and for all. Dorian Prime needs to learn that they are either with the Confederacy, or against it! \ \ Our military base has a stockpile of Confederate propaganda we hope cam persuade them to join our cause. Alternatively, it may be easier for the Confederacy if the locals were to... mysteriously disappear. Achieve either -50 or +50 goodwill, and you will be handsomely rewarded!;//enter area text, specify none to not show it
20;//---------------------------------------------------------
 Former Sol System;//area name
  1;//area class
  15;//climate in climate_types.dat, -1=random climate
  20;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.5000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
89;//alien type in creatures.dat---------alien cruiser
    10;//number of these aliens
    1;//side
6;//alien type in creatures.dat---------asteroids
    20;//number of these aliens
    5;//side
  7;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
  8;//alien type in creatures.dat---------asteroids
    10;//number of these aliens
    5;//side
  9;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
70;//alien type in creatures.dat---------asteroids
 15;//number of these aliens
    5;//side
  71;//alien type in creatures.dat---------asteroids
  25;//number of these aliens
    5;//side
 72;//alien type in creatures.dat---------asteroids
    10;//number of these aliens
    5;//side
  73;//alien type in creatures.dat---------asteroids
    20;//number of these aliens
    5;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
 As the Wolf IV emerges from the warpgate, a sudden chill runs through you. Only a shattered core remains of the Earth's once beautiful sun, casting a terrifying red glow over the remnants of the Solar System. \ \ You close your eyes, and think back to those terrible days, now almost 17 years ago. The first Alien treachery, where thousands of your fellow inhabitants of Earth were kidnapped and taken to the terrible 'Zoo' prison planet... The supernova itself, destroying all traces of life in this once vibrant system... \ \ The less time you spend here, the better. Confederate intelligence suggests that some Alien ship parts have been spotted on the surface of some of the remaining planets. You will have to be careful, however: this is now a dangerous, dangerous part of the Confederacy...;//enter area text, specify none to not show it
21;//Desert---------------------------------------------------------planet
 Garreempir;//area name
  0;//area class
  16;//climate in climate_types.dat, -1=random climate
 21;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.7000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
end_alien_list;
  begin_excluded_plot_object_classes;
  1;
5;
  end_excluded_plot_object_classes;
  none;//enter area text, specify none to not show it
22;//---------------------------------------------------------
 Jupiter;//area name
  1;//area class
  17;//climate in climate_types.dat, -1=random climate
  22;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.0000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
      84;//alien type in creatures.dat---------large storm
    20;//number of these aliens
    11;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
   none;//enter area text, specify none to not show it
 23;//---------------------------------------------------------
 Mars;//area name
  1;//area class
  18;//climate in climate_types.dat, -1=random climate
  23;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  5.0000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
 none;//enter area text, specify none to not show it
 24;//Mines---------------------------------------------------------
  Underground caves;//area name
  0;//area class
  7;//climate in climate_types.dat, -1=random climate
  24;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
    94;//alien type in creatures.dat---------insect
    200;//number of these aliens
    5;//side
  42;//alien type in creatures.dat---------rockore
    10;//number of these aliens
    1;//side
  43;//alien type in creatures.dat---------rockore
    5;//number of these aliens
    1;//side
  44;//alien type in creatures.dat---------rockore
    3;//number of these aliens
    1;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
5;
  end_excluded_plot_object_classes;
  none;//enter area text, specify none to not show it
   25;//---------------------------------------------------------
 Venus;//area name
  1;//area class
  19;//climate in climate_types.dat, -1=random climate
  25;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.0000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
 none;//enter area text, specify none to not show it
    26;//---------------------------------------------------------
 Earth;//area name
  1;//area class
  20;//climate in climate_types.dat, -1=random climate
  26;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  1.0000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
 none;//enter area text, specify none to not show it
 27;//Moon---------------------------------------------------------
  Moon;//area name
  0;//area class
  21;//climate in climate_types.dat, -1=random climate
  27;//terrain map number
  2;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
 0.000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  end_alien_list;
  begin_excluded_plot_object_classes;
  1;
2;
3;
5;
  end_excluded_plot_object_classes;
none;//enter area text, specify none to not show it
28;//---------------------------------------------------------
 Zoo System;//area name
  1;//area class
  22;//climate in climate_types.dat, -1=random climate
  28;//terrain map number
  -1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
  0.5000000;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
  begin_alien_list;
  1;//alien type in creatures.dat---------small alien fighters
    200;//number of these aliens
    1;//side
  3;//alien type in creatures.dat---------large alien fighters
    200;//number of these aliens
    1;//side
35;//alien type in creatures.dat---------alien mothership
    30;//number of these aliens
    1;//side
  89;//alien type in creatures.dat---------alien cruiser
    30;//number of these aliens
    1;//side
6;//alien type in creatures.dat---------asteroids
    20;//number of these aliens
    5;//side
  7;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
  8;//alien type in creatures.dat---------asteroids
    10;//number of these aliens
    5;//side
  9;//alien type in creatures.dat---------asteroids
    30;//number of these aliens
    5;//side
70;//alien type in creatures.dat---------asteroids
 15;//number of these aliens
    5;//side
  71;//alien type in creatures.dat---------asteroids
  25;//number of these aliens
    5;//side
 72;//alien type in creatures.dat---------asteroids
    10;//number of these aliens
    5;//side
  73;//alien type in creatures.dat---------asteroids
    20;//number of these aliens
    5;//side
  end_alien_list;
  begin_excluded_plot_object_classes;
2;
3;
4;
5;
  end_excluded_plot_object_classes;
 none;//enter area text, specify none to not show it
end_of_file;
